epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6446,2.489,66.7175,0.77517,0,0,0,0,3.74969,28.3876,1.02241,0.000647619,0.000647619,0.000647619
2,11.4226,3.30788,48.0369,0.88657,0,0,0,0,2.6089,20.4616,0.93772,0.00128826,0.00128826,0.00128826
3,17.0727,3.25599,45.8916,0.99749,0.00012,0.04167,6e-05,4e-05,3.45677,13.8458,1.05167,0.00190251,0.00190251,0.00190251
4,21.8681,2.94594,36.8886,0.90736,0.00083,0.29167,0.23533,0.08057,2.39356,11.1307,0.8544,0.0018812,0.0018812,0.0018812
5,26.8834,2.89604,31.045,0.85697,0.4908,0.70833,0.41077,0.08913,3.06723,8.2061,0.90661,0.0018416,0.0018416,0.0018416
6,31.8212,2.94409,36.3873,0.8116,0.7088,0.66667,0.73781,0.17447,3.0387,5.25457,0.88374,0.001802,0.001802,0.001802
7,36.7663,3.04155,26.1863,0.89189,0.61124,0.625,0.57455,0.20398,2.67241,5.01374,0.93763,0.0017624,0.0017624,0.0017624
8,41.5661,2.80849,23.499,0.92579,0.80578,0.70833,0.7035,0.2382,2.59616,4.19919,1.01073,0.0017228,0.0017228,0.0017228
9,46.3735,2.80507,22.6244,0.91656,0.7098,0.66667,0.67203,0.19487,2.64956,4.49668,0.98122,0.0016832,0.0016832,0.0016832
10,51.0819,2.28243,19.161,0.84415,0.79556,0.75,0.77,0.27138,2.34028,4.35293,0.859,0.0016436,0.0016436,0.0016436
11,56.0938,2.28441,20.7879,0.80118,0.91194,0.86339,0.94808,0.30455,2.1823,4.61039,0.85001,0.001604,0.001604,0.001604
12,60.7528,2.54856,16.9361,0.86539,0.99537,0.875,0.93554,0.37092,2.00819,4.10787,0.83798,0.0015644,0.0015644,0.0015644
13,65.4175,2.43424,16.7792,0.8501,0.96492,0.83333,0.96632,0.37245,2.13219,3.95316,0.8385,0.0015248,0.0015248,0.0015248
14,70.3438,2.6247,14.3104,0.8792,0.90202,0.76764,0.88678,0.34411,2.02672,3.2862,0.8209,0.0014852,0.0014852,0.0014852
15,75.1777,2.48389,14.4777,0.83138,0.93713,0.83333,0.85855,0.36265,2.04074,3.02554,0.8265,0.0014456,0.0014456,0.0014456
16,79.9159,2.48661,13.5512,0.81319,0.99159,0.79167,0.88938,0.32265,2.39232,3.089,0.85131,0.001406,0.001406,0.001406
17,84.7968,2.29023,13.0859,0.81744,0.94243,0.79167,0.9045,0.35283,2.04266,2.80626,0.83191,0.0013664,0.0013664,0.0013664
18,89.5518,2.18923,13.2642,0.80756,0.90971,0.83991,0.91895,0.39837,2.0276,2.79874,0.82929,0.0013268,0.0013268,0.0013268
19,94.4108,2.15067,10.6863,0.83307,0.90999,0.84278,0.92424,0.35767,2.00267,2.85046,0.82831,0.0012872,0.0012872,0.0012872
20,99.2951,2.20143,12.2759,0.81665,0.95607,0.90725,0.9099,0.36735,1.83269,2.78426,0.83429,0.0012476,0.0012476,0.0012476
21,104.209,2.17673,9.51438,0.82247,1,0.84806,0.97452,0.4272,1.91288,2.73124,0.83125,0.001208,0.001208,0.001208
22,109.172,2.02626,9.76693,0.81839,1,0.94828,0.99192,0.44338,1.81001,2.67282,0.82734,0.0011684,0.0011684,0.0011684
23,114.054,2.13657,8.56031,0.82854,0.99326,0.83333,0.93458,0.39592,1.82701,2.70713,0.84098,0.0011288,0.0011288,0.0011288
24,119.088,2.21423,10.0053,0.81202,0.95221,0.83041,0.95203,0.42836,1.75143,2.744,0.83301,0.0010892,0.0010892,0.0010892
25,124.079,2.0699,9.15405,0.78839,0.84364,0.89965,0.88941,0.37339,1.88192,2.79161,0.82694,0.0010496,0.0010496,0.0010496
26,128.948,2.05926,9.38484,0.79654,0.9103,0.84605,0.96022,0.44437,1.67073,2.685,0.82387,0.00101,0.00101,0.00101
27,134.031,1.87749,7.5328,0.77867,0.95479,0.88021,0.93865,0.46523,1.6037,2.58439,0.82474,0.0009704,0.0009704,0.0009704
